,NAME,total_renter_households,30_to_34pct,35_to_39pct,40_to_49pct,50pct_plus,median_gross_rent,median_household_income,msa_code,cost_burdened,severely_burdened,pct_cost_burden,pct_severely_burdened,metro,state,burden_category,cbsa_num,fmr_2br
0,"Abilene, TX Metro Area",24244,2161,1855,1675,5101,1050,61924,10180,10792,5101,44.51,21.04,"Abilene, TX",TX,High (40-49%),10180.0,945.0
1,"Akron, OH Metro Area",94274,8045,4959,7312,21628,962,68647,10420,41944,21628,44.49,22.94,"Akron, OH",OH,High (40-49%),10420.0,890.0
2,"Albany, GA Metro Area",24683,1683,1434,1492,6885,912,53173,10500,11494,6885,46.57,27.89,"Albany, GA",GA,High (40-49%),10500.0,810.0
3,"Albany-Lebanon, OR Metro Area",16499,1470,1149,1607,3479,1160,69523,10540,7705,3479,46.7,21.09,"Albany-Lebanon, OR",OR,High (40-49%),10540.0,1138.0
4,"Albany-Schenectady-Troy, NY Metro Area",135406,10442,6812,10240,30101,1181,83360,10580,57595,30101,42.54,22.23,"Albany-Schenectady-Troy, NY",NY,High (40-49%),10580.0,1207.0
5,"Albuquerque, NM Metro Area",118861,9544,7849,10090,28712,1035,63971,10740,56195,28712,47.28,24.16,"Albuquerque, NM",NM,High (40-49%),10740.0,996.0
6,"Alexandria, LA Metro Area",17775,1334,944,1797,3798,922,55650,10780,7873,3798,44.29,21.37,"Alexandria, LA",LA,High (40-49%),10780.0,818.0
7,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",103425,8998,6323,9650,24371,1246,78597,10900,49342,24371,47.71,23.56,"Allentown-Bethlehem-Easton, PA-NJ",PA,High (40-49%),10900.0,1196.0
8,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",103425,8998,6323,9650,24371,1246,78597,10900,49342,24371,47.71,23.56,"Allentown-Bethlehem-Easton, PA-NJ",PA,High (40-49%),10900.0,1365.0
9,"Altoona, PA Metro Area",13916,1409,1200,1065,2490,838,59386,11020,6164,2490,44.29,17.89,"Altoona, PA",PA,High (40-49%),11020.0,829.0
10,"Amarillo, TX Metro Area",36333,2962,1725,2659,7941,997,64147,11100,15287,7941,42.07,21.86,"Amarillo, TX",TX,High (40-49%),11100.0,908.0
11,"Ames, IA Metro Area",19234,1288,652,1646,5336,981,68107,11180,8922,5336,46.39,27.74,"Ames, IA",IA,High (40-49%),11180.0,943.0
12,"Ames, IA Metro Area",19234,1288,652,1646,5336,981,68107,11180,8922,5336,46.39,27.74,"Ames, IA",IA,High (40-49%),11180.0,810.0
13,"Anchorage, AK Metro Area",48025,4694,3205,4319,9639,1375,93016,11260,21857,9639,45.51,20.07,"Anchorage, AK",AK,High (40-49%),11260.0,1248.0
14,"Ann Arbor, MI Metro Area",57647,4298,3175,5007,16375,1335,84245,11460,28855,16375,50.05,28.41,"Ann Arbor, MI",MI,Very High (50%+),11460.0,1262.0
15,"Anniston-Oxford, AL Metro Area",12999,877,753,916,2783,806,54339,11500,5329,2783,41.0,21.41,"Anniston-Oxford, AL",AL,High (40-49%),11500.0,744.0
16,"Appleton, WI Metro Area",25721,1799,1136,1726,3383,942,79958,11540,8044,3383,31.27,13.15,"Appleton, WI",WI,Moderate (30-39%),11540.0,881.0
17,"Asheville, NC Metro Area",57940,5535,4048,5602,11562,1121,64538,11700,26747,11562,46.16,19.96,"Asheville, NC",NC,High (40-49%),11700.0,1378.0
18,"Athens-Clarke County, GA Metro Area",37880,2559,1900,3387,11700,1028,59130,12020,19546,11700,51.6,30.89,"Athens-Clarke County, GA",GA,Very High (50%+),12020.0,899.0
19,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",777789,67840,52165,73610,184965,1446,82625,12060,378580,184965,48.67,23.78,"Atlanta-Sandy Springs-Alpharetta, GA",GA,High (40-49%),12060.0,1289.0
20,"Atlantic City-Hammonton, NJ Metro Area",34262,2994,2090,3292,10192,1268,73113,12100,18568,10192,54.19,29.75,"Atlantic City-Hammonton, NJ",NJ,Very High (50%+),12100.0,1407.0
21,"Auburn-Opelika, AL Metro Area",22649,1526,1129,1525,6921,953,59288,12220,11101,6921,49.01,30.56,"Auburn-Opelika, AL",AL,High (40-49%),12220.0,924.0
22,"Augusta-Richmond County, GA-SC Metro Area",71629,6055,3787,6201,18106,1016,62941,12260,34149,18106,47.67,25.28,"Augusta-Richmond County, GA-SC",GA,High (40-49%),12260.0,906.0
23,"Austin-Round Rock-Georgetown, TX Metro Area",372749,32953,25046,31087,82467,1529,92939,12420,171553,82467,46.02,22.12,"Austin-Round Rock-Georgetown, TX",TX,High (40-49%),12420.0,1451.0
24,"Bakersfield, CA Metro Area",112026,9224,8131,11466,29157,1161,63883,12540,57978,29157,51.75,26.03,"Bakersfield, CA",CA,Very High (50%+),12540.0,1013.0
25,"Baltimore-Columbia-Towson, MD Metro Area",361927,30595,23137,31729,87437,1489,94167,12580,172898,87437,47.77,24.16,"Baltimore-Columbia-Towson, MD",MD,High (40-49%),12580.0,1395.0
26,"Bangor, ME Metro Area",19189,1578,1518,1740,3721,932,59438,12620,8557,3721,44.59,19.39,"Bangor, ME",ME,High (40-49%),12620.0,1103.0
27,"Barnstable Town, MA Metro Area",18635,1833,1271,1540,5188,1536,90447,12700,9832,5188,52.76,27.84,"Barnstable Town, MA",MA,Very High (50%+),12700.0,1879.0
28,"Baton Rouge, LA Metro Area",98146,7381,6073,7771,24765,1072,67979,12940,45990,24765,46.86,25.23,"Baton Rouge, LA",LA,High (40-49%),12940.0,738.0
29,"Baton Rouge, LA Metro Area",98146,7381,6073,7771,24765,1072,67979,12940,45990,24765,46.86,25.23,"Baton Rouge, LA",LA,High (40-49%),12940.0,917.0
30,"Battle Creek, MI Metro Area",15032,1423,787,1252,3098,897,58191,12980,6560,3098,43.64,20.61,"Battle Creek, MI",MI,High (40-49%),12980.0,841.0
31,"Bay City, MI Metro Area",10970,792,594,751,2271,786,57887,13020,4408,2271,40.18,20.7,"Bay City, MI",MI,High (40-49%),13020.0,786.0
32,"Beaumont-Port Arthur, TX Metro Area",47109,3758,2894,4033,10258,992,62427,13140,20943,10258,44.46,21.78,"Beaumont-Port Arthur, TX",TX,High (40-49%),13140.0,982.0
33,"Beckley, WV Metro Area",11205,754,409,757,2355,796,48859,13220,4275,2355,38.15,21.02,"Beckley, WV",WV,Moderate (30-39%),,
34,"Bellingham, WA Metro Area",33729,2595,2808,3335,9355,1370,77581,13380,18093,9355,53.64,27.74,"Bellingham, WA",WA,Very High (50%+),13380.0,1254.0
35,"Bend, OR Metro Area",24660,2369,1636,2113,5899,1550,82042,13460,12017,5899,48.73,23.92,"Bend, OR",OR,High (40-49%),13460.0,1303.0
36,"Billings, MT Metro Area",22524,2090,1299,2038,4583,1045,72377,13740,10010,4583,44.44,20.35,"Billings, MT",MT,High (40-49%),13740.0,960.0
37,"Billings, MT Metro Area",22524,2090,1299,2038,4583,1045,72377,13740,10010,4583,44.44,20.35,"Billings, MT",MT,High (40-49%),13740.0,854.0
38,"Binghamton, NY Metro Area",33082,2432,1681,3132,8638,884,61271,13780,15883,8638,48.01,26.11,"Binghamton, NY",NY,High (40-49%),13780.0,855.0
