cbsa_num,area_name,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br
10180.0,"Abilene, TX MSA",688,732,945,1288,1598
10420.0,"Akron, OH MSA",610,702,890,1126,1207
10500.0,"Albany, GA MSA",666,690,810,1050,1273
10540.0,"Albany, OR MSA",808,865,1138,1584,1859
10580.0,"Albany-Schenectady-Troy, NY MSA",890,991,1207,1492,1637
10740.0,"Albuquerque, NM MSA",666,821,996,1415,1705
10780.0,"Alexandria, LA MSA",543,637,818,1097,1195
10900.0,"Allentown-Bethlehem-Easton, PA HUD Metro FMR Area",834,939,1196,1542,1622
11020.0,"Altoona, PA MSA",552,677,829,1025,1124
11100.0,"Amarillo, TX HUD Metro FMR Area",621,713,908,1230,1421
11180.0,"Ames, IA HUD Metro FMR Area",787,798,943,1340,1581
11260.0,"Anchorage, AK HUD Metro FMR Area",877,948,1248,1773,2136
26900.0,"Anderson, IN HUD Metro FMR Area",559,613,796,1017,1079
24860.0,"Anderson, SC HUD Metro FMR Area",634,665,833,1062,1418
11460.0,"Ann Arbor, MI MSA",1047,1048,1262,1560,1816
11500.0,"Anniston-Oxford-Jacksonville, AL MSA",562,565,744,988,1111
16740.0,"Anson County, NC HUD Metro FMR Area",535,612,805,995,1211
11540.0,"Appleton, WI MSA",643,686,881,1190,1195
11700.0,"Asheville, NC HUD Metro FMR Area",1188,1209,1378,1879,2359
12940.0,"Assumption Parish, LA HUD Metro FMR Area",601,648,738,1019,1158
12020.0,"Athens-Clarke County, GA MSA",737,782,899,1204,1409
12060.0,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",1111,1131,1289,1596,1951
12100.0,"Atlantic City-Hammonton, NJ MSA",946,1107,1407,1972,2183
12220.0,"Auburn-Opelika, AL MSA",672,706,924,1222,1383
12260.0,"Augusta-Richmond County, GA-SC HUD Metro FMR Area",685,789,906,1228,1532
12420.0,"Austin-Round Rock, TX MSA",1092,1236,1451,1867,2194
12540.0,"Bakersfield, CA MSA",763,772,1013,1439,1734
12580.0,"Baltimore-Columbia-Towson, MD MSA",953,1124,1395,1809,2075
12620.0,"Bangor, ME HUD Metro FMR Area",742,855,1103,1368,1671
12700.0,"Barnstable Town, MA MSA",1248,1428,1879,2323,2548
12940.0,"Baton Rouge, LA HUD Metro FMR Area",744,781,917,1161,1447
12980.0,"Battle Creek, MI MSA",602,670,841,1091,1183
13020.0,"Bay City, MI MSA",522,611,786,1031,1118
13140.0,"Beaumont-Port Arthur, TX MSA",747,798,982,1281,1332
13380.0,"Bellingham, WA MSA",926,996,1254,1781,2146
13460.0,"Bend-Redmond, OR MSA",866,1048,1303,1851,2230
35620.0,"Bergen-Passaic, NJ HUD Metro FMR Area",1237,1481,1736,2159,2691
13740.0,"Billings, MT HUD Metro FMR Area",646,730,960,1315,1543
13780.0,"Binghamton, NY MSA",634,668,855,1136,1255
13820.0,"Birmingham-Hoover, AL HUD Metro FMR Area",765,820,943,1220,1316
13900.0,"Bismarck, ND MSA",733,737,880,1250,1442
13980.0,"Blacksburg-Christiansburg-Radford, VA HUD Metro FMR Area",743,801,935,1328,1600
14010.0,"Bloomington, IL MSA",609,703,870,1225,1474
14020.0,"Bloomington, IN HUD Metro FMR Area",706,803,971,1369,1662
14260.0,"Boise City, ID HUD Metro FMR Area",783,896,1118,1577,1841
11180.0,"Boone County, IA HUD Metro FMR Area",616,620,810,1069,1344
14460.0,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",1803,1986,2399,2966,3253
14500.0,"Boulder, CO MSA",1284,1449,1748,2352,2786
14540.0,"Bowling Green, KY HUD Metro FMR Area",672,688,845,1063,1365
26420.0,"Brazoria County, TX HUD Metro FMR Area",783,1035,1179,1543,2018
14740.0,"Bremerton-Silverdale, WA MSA",1174,1368,1765,2435,2909
14860.0,"Bridgeport, CT HUD Metro FMR Area",911,1101,1371,1765,2094
14460.0,"Brockton, MA HUD Metro FMR Area",1145,1309,1723,2181,2505
17140.0,"Brown County, OH HUD Metro FMR Area",527,603,793,980,1075
15180.0,"Brownsville-Harlingen, TX MSA",598,631,803,1043,1206
34820.0,"Brunswick County, NC HUD Metro FMR Area",786,813,926,1315,1585
15260.0,"Brunswick, GA MSA",728,732,894,1230,1426
15380.0,"Buffalo-Cheektowaga-Niagara Falls, NY MSA",774,812,963,1190,1334
15500.0,"Burlington, NC MSA",619,698,891,1126,1208
15680.0,"California-Lexington Park, MD MSA",1058,1126,1372,1920,2218
47260.0,"Camden County, NC HUD Metro FMR Area",782,797,982,1328,1600
15940.0,"Canton-Massillon, OH MSA",510,584,768,976,1041
15980.0,"Cape Coral-Fort Myers, FL MSA",976,979,1231,1603,1820
16020.0,"Cape Girardeau, MO-IL MSA",536,622,807,1146,1248
16180.0,"Carson City, NV MSA",736,853,1108,1574,1896
26580.0,"Carter County, KY HUD Metro FMR Area",501,512,674,851,914
16220.0,"Casper, WY MSA",605,728,856,1216,1465
16300.0,"Cedar Rapids, IA HUD Metro FMR Area",541,619,814,1156,1358
16540.0,"Chambersburg-Waynesboro, PA MSA",709,714,939,1269,1317
16580.0,"Champaign-Urbana, IL MSA",824,829,977,1252,1325
16620.0,"Charleston, WV HUD Metro FMR Area",577,690,833,1083,1167
16700.0,"Charleston-North Charleston, SC MSA",1183,1204,1372,1721,2206
16740.0,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",996,1014,1155,1497,1942
16820.0,"Charlottesville, VA MSA",1024,1063,1264,1562,1959
16860.0,"Chattanooga, TN-GA MSA",721,742,883,1148,1380
16940.0,"Cheyenne, WY MSA",670,699,890,1264,1523
16980.0,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1059,1161,1340,1697,2018
17020.0,"Chico, CA MSA",826,895,1177,1662,2015
17140.0,"Cincinnati, OH-KY-IN  HUD Metro FMR Area",643,742,968,1302,1483
44940.0,"Clarendon County, SC HUD Metro FMR Area",548,552,712,880,1050
17300.0,"Clarksville, TN-KY HUD Metro FMR Area",634,707,910,1293,1558
17420.0,"Cleveland, TN MSA",570,631,830,1079,1224
17460.0,"Cleveland-Elyria, OH MSA",632,732,893,1169,1224
17660.0,"Coeur d'Alene, ID MSA",738,845,1047,1487,1792
35980.0,"Colchester-Lebanon, CT HUD Metro FMR Area",876,1035,1318,1869,2256
17780.0,"College Station-Bryan, TX MSA",759,841,975,1385,1582
17820.0,"Colorado Springs, CO HUD Metro FMR Area",885,1033,1302,1849,2229
17860.0,"Columbia, MO HUD Metro FMR Area",658,718,878,1177,1392
17900.0,"Columbia, SC HUD Metro FMR Area",834,869,990,1268,1531
17980.0,"Columbus, GA-AL HUD Metro FMR Area",654,724,827,1122,1415
18020.0,"Columbus, IN MSA",822,825,953,1237,1408
18140.0,"Columbus, OH HUD Metro FMR Area",730,829,1032,1281,1426
17860.0,"Cooper County, MO HUD Metro FMR Area",534,543,713,957,1169
18580.0,"Corpus Christi, TX MSA",822,909,1118,1474,1720
18700.0,"Corvallis, OR MSA",1000,1065,1272,1807,2177
25620.0,"Covington County, MS HUD Metro FMR Area",493,619,705,1001,1037
18880.0,"Crestview-Fort Walton Beach-Destin, FL HUD Metro FMR Area",981,987,1172,1542,1997
19060.0,"Cumberland, MD-WV MSA",503,606,757,987,1261
19100.0,"Dallas, TX HUD Metro FMR Area",1076,1150,1362,1736,2280
19140.0,"Dalton, GA HUD Metro FMR Area",558,617,806,1087,1093
14860.0,"Danbury, CT HUD Metro FMR Area",1203,1412,1810,2291,2487
19180.0,"Danville, IL MSA",597,610,802,1038,1088
19300.0,"Daphne-Fairhope-Foley, AL MSA",772,777,1017,1348,1715
19340.0,"Davenport-Moline-Rock Island, IA-IL MSA",535,650,805,1070,1209
19460.0,"Decatur, AL MSA",554,592,720,946,1009
19500.0,"Decatur, IL MSA",543,641,794,1110,1142
16980.0,"DeKalb County, IL HUD Metro FMR Area",714,811,1044,1483,1787
19660.0,"Deltona-Daytona Beach-Ormond Beach, FL HUD Metro FMR Area",754,931,1135,1505,1580
19740.0,"Denver-Aurora-Lakewood, CO MSA",1236,1364,1659,2226,2501
19780.0,"Des Moines-West Des Moines, IA HUD Metro FMR Area",658,770,935,1284,1357
19820.0,"Detroit-Warren-Livonia, MI HUD Metro FMR Area",733,848,1084,1371,1473
20020.0,"Dothan, AL HUD Metro FMR Area",561,565,705,929,1043
20100.0,"Dover, DE MSA",851,856,1002,1423,1647
20220.0,"Dubuque, IA MSA",554,634,834,1112,1427
20260.0,"Duluth, MN-WI HUD Metro FMR Area",692,715,936,1221,1515
20500.0,"Durham-Chapel Hill, NC HUD Metro FMR Area",1024,1030,1199,1546,1812
